,total_bitcoins
2043-10-04,20908264.717017453
2043-10-11,20908461.23267454
2043-10-18,20908657.748331625
2043-10-25,20908854.263988707
2043-11-01,20909050.779645793
2043-11-08,20909247.295302875
2043-11-15,20909443.81095996
2043-11-22,20909640.326617043
2043-11-29,20909836.84227413
2043-12-06,20910033.357931215
2043-12-13,20910229.873588298
2043-12-20,20910426.389245383
2043-12-27,20910622.904902462
2044-01-03,20910813.40477413
2044-01-10,20910931.715220742
2044-01-17,20911029.973049283
2044-01-24,20911128.230877824
2044-01-31,20911226.48870637
2044-02-07,20911324.74653491
2044-02-14,20911423.00436345
2044-02-21,20911521.262191992
2044-02-28,20911619.520020537
2044-03-06,20911717.77784908
2044-03-13,20911816.03567762
2044-03-20,20911914.293506164
2044-03-27,20912012.551334705
2044-04-03,20912110.809163246
2044-04-10,20912209.066991787
2044-04-17,20912307.32482033
2044-04-24,20912405.58264887
2044-05-01,20912503.840477414
2044-05-08,20912602.09830596
2044-05-15,20912700.356134497
2044-05-22,20912798.613963038
2044-05-29,20912896.871791583
2044-06-05,20912995.129620124
2044-06-12,20913093.387448665
2044-06-19,20913191.645277206
2044-06-26,20913289.903105747
2044-07-03,20913388.16093429
2044-07-10,20913486.418762833
2044-07-17,20913584.676591374
2044-07-24,20913682.93441992
2044-07-31,20913781.19224846
2044-08-07,20913879.450077
2044-08-14,20913977.707905542
2044-08-21,20914075.965734087
2044-08-28,20914174.223562628
2044-09-04,20914272.48139117
2044-09-11,20914370.739219714
2044-09-18,20914468.997048255
2044-09-25,20914567.254876796
2044-10-02,20914665.512705337
2044-10-09,20914763.770533882
2044-10-16,20914862.028362423
2044-10-23,20914960.286190964
2044-10-30,20915058.54401951
2044-11-06,20915156.80184805
2044-11-13,20915255.05967659
2044-11-20,20915353.317505132
2044-11-27,20915451.575333677
2044-12-04,20915549.83316222
2044-12-11,20915648.09099076
2044-12-18,20915746.348819304
2044-12-25,20915844.606647845
2045-01-01,20915942.864476386
2045-01-08,20916041.122304928
2045-01-15,20916139.380133472
2045-01-22,20916237.637962013
2045-01-29,20916335.895790555
2045-02-05,20916434.1536191
2045-02-12,20916532.41144764
2045-02-19,20916630.66927618
2045-02-26,20916728.927104723
2045-03-05,20916827.184933268
2045-03-12,20916925.44276181
2045-03-19,20917023.70059035
2045-03-26,20917121.958418895
2045-04-02,20917220.216247436
2045-04-09,20917318.474075977
2045-04-16,20917416.731904518
2045-04-23,20917514.98973306
2045-04-30,20917613.247561604
2045-05-07,20917711.505390145
2045-05-14,20917809.763218682
2045-05-21,20917908.021047227
2045-05-28,20918006.27887577
2045-06-04,20918104.536704313
2045-06-11,20918202.794532854
2045-06-18,20918301.052361395
2045-06-25,20918399.310189936
2045-07-02,20918497.568018477
2045-07-09,20918595.825847022
2045-07-16,20918694.083675563
2045-07-23,20918792.341504104
2045-07-30,20918890.59933265
2045-08-06,20918988.85716119
2045-08-13,20919087.11498973
2045-08-20,20919185.372818273
2045-08-27,20919283.630646817
2045-09-03,20919381.88847536
2045-09-10,20919480.1463039
2045-09-17,20919578.404132444
2045-09-24,20919676.661960986
2045-10-01,20919774.919789527
2045-10-08,20919873.177618068
2045-10-15,20919971.435446613
2045-10-22,20920069.693275154
2045-10-29,20920167.951103695
2045-11-05,20920266.20893224
2045-11-12,20920364.46676078
2045-11-19,20920462.72458932
2045-11-26,20920560.982417863
2045-12-03,20920659.240246408
2045-12-10,20920757.49807495
2045-12-17,20920855.75590349
2045-12-24,20920954.013732035
2045-12-31,20921052.271560576
2046-01-07,20921150.529389117
2046-01-14,20921248.787217658
2046-01-21,20921347.045046203
2046-01-28,20921445.302874744
2046-02-04,20921543.560703285
2046-02-11,20921641.81853183
2046-02-18,20921740.07636037
2046-02-25,20921838.334188912
2046-03-04,20921936.592017453
2046-03-11,20922034.849845998
2046-03-18,20922133.10767454
2046-03-25,20922231.36550308
2046-04-01,20922329.623331625
2046-04-08,20922427.881160166
2046-04-15,20922526.138988707
2046-04-22,20922624.39681725
2046-04-29,20922722.654645793
2046-05-06,20922820.912474334
2046-05-13,20922919.170302875
2046-05-20,20923017.42813142
2046-05-27,20923115.68595996
2046-06-03,20923213.943788502
2046-06-10,20923312.201617043
2046-06-17,20923410.45944559
2046-06-24,20923508.71727413
2046-07-01,20923606.97510267
2046-07-08,20923705.232931215
2046-07-15,20923803.490759756
2046-07-22,20923901.748588298
2046-07-29,20924000.00641684
2046-08-05,20924098.26424538
2046-08-12,20924196.522073925
2046-08-19,20924294.779902466
2046-08-26,20924393.03773101
2046-09-02,20924491.295559548
2046-09-09,20924589.55338809
