timestamp,hash_rate,market_price,daily_transaction_fees
2020-03-01,113169220.498612,8785.52,22.675960584285715
2020-03-08,117018513.71285,8800.779999999999,21.454254437142858
2020-03-15,106970540.7647605,6770.485,40.72861909142858
2020-03-22,93393510.59077156,5773.73,69.46212938428572
2020-03-29,112492821.358516,6698.46,45.22917840142857
2020-04-05,96477547.3774026,6347.26,25.466069512857143
2020-04-12,116248039.0826835,7108.219999999999,19.161720421428573
2020-04-19,117405310.00738251,7065.655,20.513932204285716
2020-04-26,112649865.245436,7130.99,24.953430972857145
2020-05-03,111856556.335257,8164.02,45.68786706142857
2020-05-10,117586342.333015,9353.865,75.01626588714285
2020-05-17,88463462.62950115,9100.115000000002,119.96495872285713
2020-05-24,98579623.7035512,9510.67,158.17709804285712
2020-05-31,94817042.64616376,9149.97,84.09832888142857
2020-06-07,115435910.3725366,9913.99,61.798445352857144
2020-06-14,114000700.6151405,9624.325,36.66376419428571
2020-06-21,97298323.0370428,9454.81,41.76122298
2020-06-28,120445907.9531135,9262.815,35.59264293142857
2020-07-05,119266398.317157,9128.885,40.45047997428571
2020-07-12,118872613.0829845,9246.095,41.841074784285716
2020-07-19,117268964.179098,9193.51,64.69444478428571
2020-07-26,130203041.11061549,9413.885,114.60181955285715
2020-08-02,118087053.0739845,11193.14,135.6141390385714
2020-08-09,119343298.3194525,11480.925,133.18287771571428
2020-08-16,123844534.076575,11573.11,125.56774427285713
2020-08-23,117947175.3110238,11889.915,112.06628649285713
2020-08-30,119575321.80686356,11649.34,95.55971798714288
2020-09-06,128303447.48619667,11041.435000000001,118.93453043857146
2020-09-13,136239328.01257572,10227.83,86.84891150714283
2020-09-20,147017755.86167192,10637.33,65.70481058000003
2020-09-27,133939080.48235837,10561.65,61.29270327428572
2020-10-04,150686700.68223205,10696.285,84.92193178142858
2020-10-11,155408725.01316798,10670.8,103.92251142142855
2020-10-18,145815593.8395156,11440.17,68.62108214999999
2020-10-25,147122798.69541484,12351.34,111.03791639000003
2020-11-01,111833208.46779844,13730.895,176.02916774571426
2020-11-08,122675182.48120748,14155.59,241.4365179485714
2020-11-15,135193058.244596,15893.085,106.17388610000002
2020-11-22,142582901.22230697,17706.300000000003,72.19642030285715
2020-11-29,135492384.34487385,18452.47,68.4040332057143
2020-12-06,149512250.29219317,19226.97,114.96339293142854
2020-12-13,137132255.0450689,18812.71,66.90942730142858
2020-12-20,138286767.84723592,21213.690000000002,109.95650244142861
2020-12-27,140142966.07337332,25134.1,118.81508659857136
2021-01-03,153482070.38176647,28856.59,96.47067456142854
2021-01-10,148396821.06188864,36243.41,109.34666575285713
2021-01-17,151099047.24153498,36186.729999999996,120.2155809042857
