Date,total_bitcoins
2016-01-03,15094259.115593484
2016-01-10,15122769.58882855
2016-01-17,15151280.062063616
2016-01-24,15179790.53529868
2016-01-31,15208301.008533746
2016-02-07,15236811.481768813
2016-02-14,15265321.955003878
2016-02-21,15293832.428238945
2016-02-28,15322342.901474012
2016-03-06,15350853.374709079
2016-03-13,15379363.847944142
2016-03-20,15407874.32117921
2016-03-27,15436384.794414276
2016-04-03,15464895.26764934
2016-04-10,15493405.740884406
2016-04-17,15521916.214119473
2016-04-24,15550426.687354539
2016-05-01,15578937.160589606
2016-05-08,15607447.63382467
2016-05-15,15635958.107059736
2016-05-22,15664468.580294803
2016-05-29,15692979.053529868
2016-06-05,15721489.526764933
2016-06-12,15748080.150694964
2016-06-19,15762831.703910615
2016-06-26,15775663.407821229
2016-07-03,15788495.111731844
2016-07-10,15801326.81564246
2016-07-17,15814158.519553075
2016-07-24,15826990.223463686
2016-07-31,15839821.927374301
2016-08-07,15852653.631284917
2016-08-14,15865485.33519553
2016-08-21,15878317.039106146
2016-08-28,15891148.74301676
2016-09-04,15903980.446927374
2016-09-11,15916812.15083799
2016-09-18,15929643.854748603
2016-09-25,15942475.558659216
2016-10-02,15955307.262569832
2016-10-09,15968138.966480447
2016-10-16,15980970.670391062
2016-10-23,15993802.374301676
2016-10-30,16006634.078212291
2016-11-06,16019465.782122906
2016-11-13,16032297.48603352
2016-11-20,16045129.189944133
2016-11-27,16057960.893854748
2016-12-04,16070792.597765362
2016-12-11,16083624.301675977
2016-12-18,16096456.005586592
2016-12-25,16109287.709497208
2017-01-01,16122119.413407821
2017-01-08,16134951.117318437
2017-01-15,16147782.82122905
2017-01-22,16160614.525139665
2017-01-29,16173446.229050279
2017-02-05,16186277.932960894
2017-02-12,16199109.636871507
2017-02-19,16211941.340782123
2017-02-26,16224773.044692738
2017-03-05,16237604.748603353
2017-03-12,16250436.452513967
2017-03-19,16263268.156424582
2017-03-26,16276099.860335195
2017-04-02,16288931.564245809
2017-04-09,16301763.268156424
2017-04-16,16314594.97206704
2017-04-23,16327426.675977653
2017-04-30,16340258.379888268
2017-05-07,16353090.083798883
2017-05-14,16365921.787709495
2017-05-21,16378753.491620112
2017-05-28,16391585.195530726
2017-06-04,16404416.899441341
2017-06-11,16417248.603351954
2017-06-18,16430080.30726257
2017-06-25,16442912.011173185
2017-07-02,16455743.715083798
2017-07-09,16468575.418994414
2017-07-16,16481407.122905029
2017-07-23,16494238.826815644
2017-07-30,16507070.530726256
2017-08-06,16519902.234636871
2017-08-13,16532733.938547486
2017-08-20,16545565.6424581
2017-08-27,16558397.346368715
2017-09-03,16571229.05027933
2017-09-10,16584060.754189944
2017-09-17,16596892.45810056
2017-09-24,16609724.162011173
2017-10-01,16622555.865921786
2017-10-08,16635387.569832401
2017-10-15,16648219.273743017
2017-10-22,16661050.977653632
2017-10-29,16673882.681564245
2017-11-05,16686714.38547486
2017-11-12,16699546.089385476
2017-11-19,16712377.79329609
2017-11-26,16725209.497206705
2017-12-03,16738041.201117318
2017-12-10,16750872.905027932
2017-12-17,16763704.608938547
2017-12-24,16776536.312849162
2017-12-31,16789368.016759776
2018-01-07,16802199.72067039
2018-01-14,16815031.424581002
2018-01-21,16827863.12849162
2018-01-28,16840694.832402233
2018-02-04,16853526.53631285
2018-02-11,16866358.240223464
2018-02-18,16879189.94413408
2018-02-25,16892021.648044694
2018-03-04,16904853.351955306
